"Size";"add(E)";"add(int, E)";"addAll(Collection)";"addAll(int, Collection)";"addFirst(E)";"addLast(E)";"getFirst()";"getLast()";"clone()";"contains(Object)";"containsAll(Collection)";"element()";"equals(Object)";"get(int)";"hashCode()";"indexOf(Object)";"isEmpty()";"lastIndexOf(Object)";"offer(E)";"offerFirst(E)";"offerLast(E)";"peek()";"peekFirst()";"peekLast()";"poll()";"pollFirst()";"pollLast()";"push(E)";"pop()";"remove()";"remove(int)";"remove(Object)";"removeAll(Collection)";"removeFirst()";"removeFirstOccurrence(Object)";"removeLast()";"removeLastOccurrence(Object)";"retainAll(Collection)";"set(int, E)";"size()";"subList(int, int)";"toArray()";"toArray(T[])";"toString()";"clear()"
5000;14784;5085;11934;47345088;17;18;15;16;10898;12582;412880;21;32123;5139;10857;11224;15;17178;18;18;19;17;16;17;23;20;9882;19;19;21;5087;11634;29808;19;11517;10076;14810;28666;5193;15;11147785;9919;10791;81164;15
10000;29405;9591;20971;181016169;22;22;27;28;20425;25282;1604274;29;59034;9508;20957;21722;25;33363;28;23;22;29;28;28;39;30;18612;23;30;29;9503;25028;57686;28;23438;18569;33417;57792;9717;26;44819163;20074;22819;174697;20
15000;43497;13932;30990;404566712;23;22;34;33;30807;36515;3540407;43;89300;13957;31129;32199;33;49700;31;21;21;34;34;39;33;34;27777;23;32;32;14291;36430;84098;33;34776;27482;49572;84758;14275;30;100996996;28464;31243;262059;22
20000;62662;18667;41355;704502639;21;21;33;32;41360;47977;6202732;32;129338;18447;41293;42360;30;65917;35;22;21;33;32;79;37;31;36923;25;31;31;18933;50172;100748;31;46452;37067;65953;115163;18822;30;180338718;38686;41183;353726;22
25000;85490;22911;54767;1108926389;22;22;32;31;50565;58678;9701488;33;147320;22898;51726;52646;31;82855;33;20;21;32;33;98;31;32;46381;22;36;31;24040;59108;125956;31;57923;46208;83581;142556;23264;28;279646160;45890;48161;406980;23
30000;91121;28653;62707;1580170243;22;20;31;31;59815;69613;13578016;31;197328;27485;61495;63023;30;99298;31;21;21;31;32;74;35;40;57470;25;32;30;27820;70396;151422;29;69137;54733;98897;173819;27500;27;404544167;50359;53633;505941;21
35000;104373;32774;77200;2181623562;23;21;34;33;69188;80131;19133022;40;206941;31972;71436;73004;31;115521;31;24;21;33;31;33;47;33;63964;22;35;29;32754;81895;171694;30;79968;64157;135739;192534;32004;28;545961076;54464;56474;593676;21
40000;127633;36568;88757;2874520493;24;21;35;30;77269;89848;25149519;31;230439;36492;81629;83678;30;131395;30;22;23;33;31;36;32;39;73370;25;31;31;37659;94179;196626;32;91594;73555;139716;218456;36634;28;724038438;60914;65775;678502;21
45000;134738;41040;101260;3653200375;22;22;31;31;87765;99682;30397748;31;262406;41039;91229;93664;38;148905;41;21;23;39;31;32;34;34;83671;22;32;28;41169;104588;220884;30;103263;83653;149612;248402;41118;30;905794611;67008;68726;738809;20
50000;143802;45672;115381;4643428729;24;26;32;32;96811;109786;38520757;31;290720;45592;101176;104301;31;164631;44;23;23;65;31;36;33;34;91187;27;35;31;46607;118476;246050;30;114230;92294;164888;278897;47204;28;1111698813;68946;72240;861794;21
