"Size";"add(E)";"add(int, E)";"addAll(Collection)";"addAll(int, Collection)";"addFirst(E)";"addLast(E)";"getFirst()";"getLast()";"clone()";"contains(Object)";"containsAll(Collection)";"element()";"equals(Object)";"get(int)";"hashCode()";"indexOf(Object)";"isEmpty()";"lastIndexOf(Object)";"offer(E)";"offerFirst(E)";"offerLast(E)";"peek()";"peekFirst()";"peekLast()";"poll()";"pollFirst()";"pollLast()";"push(E)";"pop()";"remove()";"remove(int)";"remove(Object)";"removeAll(Collection)";"removeFirst()";"removeFirstOccurrence(Object)";"removeLast()";"removeLastOccurrence(Object)";"retainAll(Collection)";"set(int, E)";"size()";"subList(int, int)";"toArray()";"toArray(T[])";"toString()";"clear()"
5000;14834;5036;10974;16049;17;18;17;17;11320;13137;411127;16;32673;5000;10378;11151;20;22;19;19;20;16;17;16;18;17;17;18;17;17;5010;11159;28439;17;11057;18;22;28169;5050;16;21;9821;10603;84906;9295
10000;31544;9503;22519;31624;22;21;35;25;20834;26058;1600404;25;64325;9466;20890;21908;27;29;29;23;31;25;29;25;28;29;26;23;27;27;10379;24108;55257;26;21455;26;32;58988;9659;27;27;19934;21153;148762;18683
15000;44955;14231;34869;46483;21;21;36;31;34100;37190;3537654;30;96597;14638;30382;32034;30;36;30;21;24;31;29;30;35;41;31;22;32;31;14001;32528;82401;30;31817;29;34;86157;14239;33;30;29659;31235;238867;27728
20000;59257;18461;43718;62263;26;20;41;35;41415;48484;6183159;29;138048;18355;39836;42349;30;33;28;21;25;28;30;35;28;30;29;20;32;28;19717;42645;108963;29;42084;28;32;116172;18689;27;30;38422;41007;333150;35843
25000;87581;22962;55232;77168;25;20;28;27;52261;58830;9540118;30;172171;22828;47976;52317;30;31;28;22;23;34;36;28;37;28;27;21;29;28;23136;52694;133725;27;52523;27;33;142874;23213;27;31;46568;48816;396670;45686
30000;94289;27418;65518;93209;21;21;28;28;61935;69959;13528469;28;192919;27574;56927;63004;29;29;31;22;21;30;47;29;29;30;28;20;27;28;27432;63250;161305;27;62610;27;32;169606;29666;29;37;46801;55810;528585;52656
35000;105129;31950;77109;110361;22;20;28;28;73705;81822;18318734;29;223949;32323;59915;73825;27;30;27;23;27;30;26;29;35;29;28;20;29;28;32001;73216;182526;28;72591;30;33;203532;32144;26;28;55369;58477;595354;53517
40000;125870;37177;89258;125267;22;19;31;29;84363;89699;24084551;28;257735;36585;61861;83561;28;30;30;22;21;27;47;26;55;29;28;20;28;29;36758;83417;212734;26;82537;29;32;228874;36841;38;29;62003;68890;674952;64281
45000;142161;40892;97832;139045;24;20;29;31;94724;100807;30128338;39;290725;41373;67562;95309;28;34;28;22;20;37;29;28;31;27;28;20;27;27;41024;94481;231306;29;93313;29;32;260368;42427;36;28;60143;68908;742839;71019
50000;147184;45465;108738;160063;36;20;26;42;111665;109645;37005556;27;317883;45734;72334;104441;35;51;34;35;21;57;32;27;43;31;28;23;29;30;45480;103152;258998;31;105220;31;38;296275;46559;35;35;68763;73458;860294;69765
