"Size";"add(E)";"add(int, E)";"addAll(Collection)";"addAll(int, Collection)";"addFirst(E)";"addLast(E)";"getFirst()";"getLast()";"clone()";"contains(Object)";"containsAll(Collection)";"element()";"equals(Object)";"get(int)";"hashCode()";"indexOf(Object)";"isEmpty()";"lastIndexOf(Object)";"offer(E)";"offerFirst(E)";"offerLast(E)";"peek()";"peekFirst()";"peekLast()";"poll()";"pollFirst()";"pollLast()";"push(E)";"pop()";"remove()";"remove(int)";"remove(Object)";"removeAll(Collection)";"removeFirst()";"removeFirstOccurrence(Object)";"removeLast()";"removeLastOccurrence(Object)";"retainAll(Collection)";"set(int, E)";"size()";"subList(int, int)";"toArray()";"toArray(T[])";"toString()";"clear()"
5000;15832;4626;9555;14495;18;20;16;16;11703;10575;250686;17;28177;4563;9200;10790;17;23;20;23;27;21;18;20;20;28;22;24;25;24;4906;11281;2217334;18;11353;21;23;2076996;4634;24;25;10961;12607;70283;9470
10000;32515;9746;18051;27857;23;22;24;26;22614;20438;995752;27;65398;9688;19151;20517;30;31;30;28;26;29;28;50;35;40;35;27;32;34;10483;21801;8754657;32;22382;38;38;8194452;9795;36;35;21964;23151;137070;18852
15000;46546;14478;26219;41150;21;21;29;28;33634;30287;2212585;30;100229;14530;28429;30658;32;36;33;27;28;34;34;31;36;158;34;24;32;32;15876;32244;18705035;32;32599;35;35;18542963;14655;34;35;31619;33343;213259;27742
20000;64856;19511;36052;53906;21;20;27;28;44323;40250;3983682;37;133050;19061;36830;40336;34;46;30;33;23;31;32;31;35;30;31;22;36;31;28770;42614;33925445;39;46338;32;31;33065151;19657;31;35;41608;43459;291537;36592
25000;78136;23875;44210;69173;23;22;27;28;55043;50124;6148737;27;171663;25261;48017;51292;32;29;39;39;26;36;31;33;34;31;46;23;40;79;27409;52388;56073800;83;55117;84;31;52134118;23698;30;32;48528;52636;373855;43854
30000;96987;28761;57900;91166;21;21;27;28;67070;60918;8873044;26;204315;27933;52914;60590;33;29;32;111;25;31;29;29;41;32;33;26;38;29;33913;61624;77987691;29;65377;46;30;80077956;28240;30;30;55801;58408;478543;51063
35000;114867;32881;63650;92990;88;19;26;29;79154;69805;12200976;28;238902;32532;60475;69888;34;31;30;32;24;29;29;30;32;39;37;24;33;29;41258;71669;116273621;31;76116;28;29;119258925;32963;31;29;61669;62115;531925;53841
40000;123866;37676;75074;107823;35;23;32;27;89197;80478;16150213;28;271030;36871;64088;85630;36;30;31;35;27;36;33;29;36;38;30;24;34;40;45887;81443;154198620;30;86885;32;29;157357203;37895;33;32;65229;72930;588501;63237
45000;140926;42929;87103;122124;24;21;35;28;101948;89669;20658931;30;320398;41383;67712;96057;51;41;28;33;34;44;30;37;33;42;35;26;33;41;48319;90192;201753833;35;101403;36;33;197099887;45087;33;46;70978;81476;676733;69766
50000;166016;47162;88744;137849;27;24;33;29;110334;100487;25417934;30;355707;45910;76547;109772;45;34;37;36;31;37;33;37;39;49;43;30;41;60;52092;101162;252723517;37;103720;35;36;233891676;54990;33;37;74286;79774;758639;73862
