"Size";"LinkedList()";"LinkedList(Collection)";"add(T)";"add(int, T)";"addAll(Collection)";"addAll(int, Collection)";"addFirst(T)";"addLast(T)";"clone()";"contains(T)";"element()";"equals(Object)";"get(int)";"hashCode()";"indexOf(T)";"lastIndexOf(T)";"offer(T)";"offerFirst(T)";"offerLast(T)";"peek()";"peekFirst()";"peekLast()";"poll()";"pollFirst()";"pollLast()";"push(T)";"pop()";"remove()";"remove(int)";"remove(T)";"removeFirst()";"removeFirstOccurrence(T)";"removeLast()";"removeLastOccurrence(T)";"set(int, T)";"size()";"toArray()";"toString()"
1000;386;33830;28312;3742;8719;12261;142;66;25726;17085;105;51593;1523;27860;3193;191;54;155;99;89;81;81;197;222;177;171;211;183;1168;15176;114;3673;282;262;1067;78;11684;88512
2500;30;10773;29527;2614;10106;13341;91;91;16799;5465;24;42522;2394;23368;5507;132;75;74;84;19;11;20;44;39;151;85;34;35;2364;5800;62;6053;197;150;2417;14;7985;64537
5000;41;9712;15845;5000;9627;13912;58;54;12987;11310;148;12243;5120;9587;10658;164;125;112;95;101;104;126;176;120;155;164;49;47;5083;10397;60;11020;134;241;5272;23;9831;142887
7500;31;13353;23176;7152;13150;19762;59;47;16973;15527;114;16720;7216;14208;15005;243;75;71;63;94;144;101;154;161;164;102;15;13;7351;15674;15;15522;128;199;7212;13;15009;117508
10000;37;17014;35766;9827;17077;26593;56;46;21788;21275;16;21894;9446;18992;19927;25;76;78;52;17;16;19;20;49;50;60;14;18;9665;20430;16;20300;17;20;9775;12;20337;151237
25000;39;50554;74458;23526;40980;80902;67;47;52905;48764;16;53323;23252;38629;49149;21;59;57;55;16;16;15;16;15;75;59;10;11;24132;49561;18;50274;15;29;23844;14;46785;468347
50000;30;83002;146848;45372;81564;127018;62;44;105763;98412;19;174863;46532;83897;94266;27;55;58;51;19;16;17;31;70;30;67;24;21;46439;99151;16;101434;26;43;47850;14;105495;849937
100000;39;170219;316943;92658;213131;264472;66;53;235331;209001;21;416002;93524;150322;172283;43;65;60;58;17;49;23;17;37;27;102;32;21;92360;211197;24;204629;24;58;90950;18;126572;1710741
250000;46;444215;663061;227856;416344;1006289;74;53;826649;614409;22;952355;235611;386279;503929;37;69;62;51;52;118;45;40;81;49;72;23;24;233142;414198;24;588835;118;53;231912;20;401543;4065840
500000;42;919417;1454607;474432;889012;1839544;74;52;902071;1078079;7;1982183;499548;708207;830124;18;62;63;58;7;8;12;202;193;215;75;206;174;472559;766700;173;1084787;31;174;487957;10;859139;8228075
1000000;43;7767312;7154134;1276246;2298982;5014256;182;50;3414827;2160565;7;3995846;1071437;1390609;1628617;25;69;61;56;7;6;6;22;579;24;73;217;238;1023242;1499510;252;2091529;75;53;1066452;5;41787207;19822937
